"","job.title","company.name","location","job.description","job.seen.beacon","job.id","location.type"
"77","Data Scientist - Freestyle Discovery","Stitch Fix","California•","You have production machine learning experience and are proficient in deploying apps in Python.
 We offer competitive compensation packages and comprehensive…","Data Scientist - Freestyle DiscoveryStitch Fix3.1California•RemoteYou have production machine learning experience and are proficient in deploying apps in Python.
 We offer competitive compensation packages and comprehensive…
30+ days ago·More...View all Stitch Fix jobs in California - California jobsSalary Search: Data Scientist - Freestyle Discovery salaries in CaliforniaSee popular questions & answers about Stitch Fix","job_e81f19f705112e1a","Remote"
"87","L'Oreal, eRetail Data Science","L'Oreal","New York, NY","Experience working with data visualization tools and creating data visualization concepts.
 Experience working with enterprise cloud databases , data analytics,…","L'Oreal, eRetail Data ScienceL'Oreal4.1New York, NYExperience working with data visualization tools and creating data visualization concepts.
 Experience working with enterprise cloud databases , data analytics,…
30+ days ago·More...View all L'Oreal jobs in New York, NY - New York jobsSalary Search: L'Oreal, eRetail Data Science salaries in New York, NYSee popular questions & answers about L'Oreal","job_eeb43e1a753af881",""
"97","Data Scientist","wpromote","+2 locations","Building applied machine learning models for media campaign optimization, designing and measuring randomized control tests, examining causal inference, and…","Data Scientistwpromote4.4+2 locationsRemoteBuilding applied machine learning models for media campaign optimization, designing and measuring randomized control tests, examining causal inference, and…
12 days ago·More...View all wpromote jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in RemoteSee popular questions & answers about wpromote","job_af6d75c8b144b561","Remote"
"107","Mathematician - Game Design","Boom Entertainment","","Experience in improving products based on data-driven user experience.
 Test game math and ensure appropriate quality and qualifications.","newMathematician - Game DesignBoom Entertainment4.5Remote$58,455 - $136,935 a yearEasily applyExperience in improving products based on data-driven user experience.
 Test game math and ensure appropriate quality and qualifications.
Today·More...View all Boom Entertainment jobs in Remote - Remote jobsSalary Search: Mathematician - Game Design salaries in Remote","job_d8e8476119e8f1c9","Remote"
"117","Data Analyst/Junior Data Scientist (2022 Start)","Charles River Associates","New York, NY","*Data Scientists *are generally key contributors to both the content and design of analyses, and will often lead project teams and manage key analytics work…","Data Analyst/Junior Data Scientist (2022 Start)Charles River AssociatesNew York, NY*Data Scientists *are generally key contributors to both the content and design of analyses, and will often lead project teams and manage key analytics work…
Active 26 days ago·More...View all Charles River Associates jobs in New York, NY - New York jobsSalary Search: Data Analyst/Junior Data Scientist (2022 Start) salaries in New York, NY","job_da2ae1ec17cfae51",""
"127","Data Scientist","Buyers Edge Platform","","We also offer ancillary plans, such as flexible spending accounts for both health and dependent care, critical illness, accident, and voluntary life as well as…","newData ScientistBuyers Edge Platform3.0RemoteEasily applyWe also offer ancillary plans, such as flexible spending accounts for both health and dependent care, critical illness, accident, and voluntary life as well as…
4 days ago·More...View all Buyers Edge Platform jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_5663c4eae88a0e3d","Remote"
"137","Data Scientist (Remote)","Transfix.io","","In this position, you will implement machine learning models into critical business processes, forecast industry trends, and build data pipelines.","Data Scientist (Remote)Transfix.io3.3RemoteIn this position, you will implement machine learning models into critical business processes, forecast industry trends, and build data pipelines.
18 days ago·More...View all Transfix.io jobs in Remote - Remote jobsSalary Search: Data Scientist (Remote) salaries in RemoteSee popular questions & answers about Transfix.io","job_883452ea616123cc","Remote"
"147","Associate Data Scientist","Athenium Analytics","Dover, NH 03820•","Athenium Analytics is an Insurtech SaaS company that uses historical data and predictive analytics to help insurance carriers & other organizations measure and…","newAssociate Data ScientistAthenium Analytics3.0Dover, NH 03820•RemoteEasily applyAthenium Analytics is an Insurtech SaaS company that uses historical data and predictive analytics to help insurance carriers & other organizations measure and…
Active 4 days ago·More...View all Athenium Analytics jobs in Dover, NH - Dover jobsSalary Search: Associate Data Scientist salaries in Dover, NH","job_f12b9cabe92ada67","Remote"
"157","Junior Data Scientist - Location Flexible Within the US","Mars","United States","Build understanding of the Mars Petcare data ecosystem and analytics platforms.
 Develop and gather project insights.
 Code peer review and QA notebooks.","Junior Data Scientist - Location Flexible Within the USMars3.9United StatesBuild understanding of the Mars Petcare data ecosystem and analytics platforms.
 Develop and gather project insights.
 Code peer review and QA notebooks.
30+ days ago·More...View all Mars jobs in United States - United States jobsSalary Search: Junior Data Scientist - Location Flexible Within the US salaries in United StatesSee popular questions & answers about Mars","job_046f4db74857e372",""
"id8","Junior Data Scientist - Location Flexible Within the US","Mars","United States","Build understanding of the Mars Petcare data ecosystem and analytics platforms.
 Develop and gather project insights.
 Code peer review and QA notebooks.","Junior Data Scientist - Location Flexible Within the USMars3.9United StatesBuild understanding of the Mars Petcare data ecosystem and analytics platforms.
 Develop and gather project insights.
 Code peer review and QA notebooks.
30+ days ago·More...View all Mars jobs in United States - United States jobsSalary Search: Junior Data Scientist - Location Flexible Within the US salaries in United StatesSee popular questions & answers about Mars","job_046f4db74857e372",""
"28","Sr. Data Scientist (REMOTE)","FedEx Services","Tennessee•","Identifies latest technological advances that accelerate the data analytics and scientific modeling capabilities of the enterprise.
 SQL, Spark, NO-SQL, Oracle.","newSr. Data Scientist (REMOTE)FedEx Services3.9Tennessee•Remote$7,545 - $12,509 a monthIdentifies latest technological advances that accelerate the data analytics and scientific modeling capabilities of the enterprise.
 SQL, Spark, NO-SQL, Oracle.
3 days ago·More...View all FedEx Services jobs in Tennessee - Tennessee jobsSalary Search: Sr. Data Scientist (REMOTE) salaries in TennesseeSee popular questions & answers about FedEx Services","job_7e1a9bc21ecef9b4","Remote"
"38","Data Scientist","iboss","New York, NY+2 locations","2-5 years of experience in data science, machine learning, or any field employing computational science or data-driven analyses.
 Free on-site gym membership.","newData Scientistiboss2.8New York, NY+2 locations2-5 years of experience in data science, machine learning, or any field employing computational science or data-driven analyses.
 Free on-site gym membership.
6 days ago·More...View all iboss jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NYSee popular questions & answers about iboss","job_3559684a1ae45ec0",""
"48","Data Scientist","Home Lending Pal","","Curious data scientist looking to rapidly test new ideas/algorithms on highly robust datasets.
 Candidates should have a bachelor’s degree in technical…","Data ScientistHome Lending PalRemote$78,638 - $100,000 a yearEasily applyResponsive employerCurious data scientist looking to rapidly test new ideas/algorithms on highly robust datasets.
 Candidates should have a bachelor’s degree in technical…
Active 2 days ago·More...View all Home Lending Pal jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_53fcf5a537de42b0","Remote"
"58","Data Scientist","Audiohook","","Present information using data visualization techniques.
 We also want to see a passion for machine-learning and research.
 Analytical mind and business acumen.","Data ScientistAudiohookRemote$50,000 - $80,000 a yearEasily applyPresent information using data visualization techniques.
 We also want to see a passion for machine-learning and research.
 Analytical mind and business acumen.
30+ days ago·More...View all Audiohook jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_e3b0efab828d68c9","Remote"
"68","Senior Data Analyst","Medely Inc.","","Ability to analyze data and condense data to tell a persuasive story.
 Work with product to provide data-driven insights that will help drive significant…","newSenior Data AnalystMedely Inc.RemoteFrom $130,000 a yearAbility to analyze data and condense data to tell a persuasive story.
 Work with product to provide data-driven insights that will help drive significant…
6 days ago·More...View all Medely Inc. jobs in Remote - Remote jobsSalary Search: Senior Data Analyst salaries in Remote","job_195c854284b7c316","Remote"
"78","Data Scientist - Dalio Center for Health Justice","NewYork-Presbyterian Hospital","Manhattan, NY 10065 (Upper East Side area)","The data scientist will work as part of the Center’s data analytics team, fulfilling data needs and encouraging a data-driven environment.","Data Scientist - Dalio Center for Health JusticeNewYork-Presbyterian Hospital4.2Manhattan, NY 10065 (Upper East Side area)The data scientist will work as part of the Center’s data analytics team, fulfilling data needs and encouraging a data-driven environment.
30+ days ago·More...View all NewYork-Presbyterian Hospital jobs in Manhattan, NY - Manhattan jobsSalary Search: Data Scientist - Dalio Center for Health Justice salaries in Manhattan, NYSee popular questions & answers about NewYork-Presbyterian Hospital","job_dfc03cea57a46d18",""
"88","AI Residency Program 2022 - US Locations","Facebook","New York, NY+2 locations","Significant contributions to open-source projects, demonstrating strong math, engineering, statistics, or machine learning skills.","newAI Residency Program 2022 - US LocationsFacebook4.1New York, NY+2 locationsSignificant contributions to open-source projects, demonstrating strong math, engineering, statistics, or machine learning skills.
6 days ago·More...View all Facebook jobs in New York, NY - New York jobsSalary Search: AI Residency Program 2022 - US Locations salaries in New York, NYSee popular questions & answers about Facebook","job_0d87cb9988f018d6",""
"98","Data Scientist","Soar","United States•","As a member of our Data/Analytics team, you will create data-based approaches to solving difficult business and product problems, as well as generate business…","Data ScientistSoar4.0United States•RemoteEasily applyAs a member of our Data/Analytics team, you will create data-based approaches to solving difficult business and product problems, as well as generate business…
Active 8 days ago·More...View all Soar jobs in United States - United States jobsSalary Search: Data Scientist salaries in United StatesSee popular questions & answers about Soar","job_713969300c2cfa51","Remote"
"108","Senior Data Scientist","CKM Analytix","New York, NY 10018 (Garment District area)•Temporarily ","Our teams apply business intuition along with a diverse set of methods and algorithms, including but not limited to, statistical inference, machine learning,…","Senior Data ScientistCKM AnalytixNew York, NY 10018 (Garment District area)•Temporarily Remote$100,000 - $180,000 a yearEasily applyResponsive employerOur teams apply business intuition along with a diverse set of methods and algorithms, including but not limited to, statistical inference, machine learning,…
Active 6 days ago·More...View all CKM Analytix jobs in New York, NY - New York jobsSalary Search: Senior Data Scientist salaries in New York, NY","job_d6b7e4552554a450","Remote"
"118","Data Scientist I (100% Remote Work Available)","USAA","San Antonio, TX 78288 (Downtown area)•","Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…","Data Scientist I (100% Remote Work Available)USAA3.9San Antonio, TX 78288 (Downtown area)•RemoteApplies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…
11 days ago·More...View all USAA jobs in San Antonio, TX - San Antonio jobsSalary Search: Data Scientist I (100% Remote Work Available) salaries in San Antonio, TXSee popular questions & answers about USAA","job_1e5351ed61303e4e","Remote"
"128","Jr. Data Scientist/AI","Radiology Partners","","This versatile and high-performing individual will focus on data discovery and the implementation of solutions using structured and unstructured data sets and…","Jr. Data Scientist/AIRadiology PartnersRemoteEasily applyThis versatile and high-performing individual will focus on data discovery and the implementation of solutions using structured and unstructured data sets and…
18 days ago·More...View all Radiology Partners jobs in Remote - Remote jobsSalary Search: Jr. Data Scientist/AI salaries in Remote","job_cfa9923c62468a82","Remote"
"138","Data Scientist - Remote","SemanticBits LLC","+1 location","Three or more years working in a data scientist or data analyst role.
 SemanticBits is looking for a Data Scientist with strong Business Intelligence, SQL,…","Data Scientist - RemoteSemanticBits LLC4.4+1 locationRemoteEasily applyThree or more years working in a data scientist or data analyst role.
 SemanticBits is looking for a Data Scientist with strong Business Intelligence, SQL,…
Active 4 days ago·More...View all SemanticBits LLC jobs in Remote - Remote jobsSalary Search: Data Scientist - Remote salaries in RemoteSee popular questions & answers about SemanticBits LLC","job_f34d1a721dbf5661","Remote"
"148","Data Scientist","Disney Media & Entertainment Distribution","New York, NY+1 location","Perform business intelligence analysis and data mining on large, complex data sets to understand user behavior across the portfolio.","newData ScientistDisney Media & Entertainment DistributionNew York, NY+1 locationPerform business intelligence analysis and data mining on large, complex data sets to understand user behavior across the portfolio.
2 days ago·More...View all Disney Media & Entertainment Distribution jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NY","job_0919701073c1e612",""
"158","Data Scientist","Cambridge Technology Inc.","Atlanta, GA•","Exploratory data analysis employing large data sets involving visualization and basic statistical techniques to develop intuitions and identify key variables in…","Data ScientistCambridge Technology Inc.Atlanta, GA•Remote$74,150 - $185,060 a yearEasily applyExploratory data analysis employing large data sets involving visualization and basic statistical techniques to develop intuitions and identify key variables in…
13 days ago·More...View all Cambridge Technology Inc. jobs in Atlanta, GA - Atlanta jobsSalary Search: Data Scientist salaries in Atlanta, GA","job_d4c0ff778219f803","Remote"
"id9","Data Scientist","Walker Edison","Utah•","1-3 years solving business problems using data.
 Theoretical and operational knowledge of machine learning research, model development, deployment, monitoring…","Data ScientistWalker Edison3.6Utah•RemoteEasily apply1-3 years solving business problems using data.
 Theoretical and operational knowledge of machine learning research, model development, deployment, monitoring…
27 days ago·More...View all Walker Edison jobs in Utah - Utah jobsSalary Search: Data Scientist salaries in UtahSee popular questions & answers about Walker Edison","job_e0325af5d37df1e7","Remote"
"29","Data Scientist","Raps Consulting","New York, NY•Temporarily ","Master’s degree with concentration in a quantitative discipline such as statistics, computer science, mathematics or machine learning and 5 years of relevant…","newData ScientistRaps ConsultingNew York, NY•Temporarily Remote$130,000 - $140,000 a yearEasily applyMaster’s degree with concentration in a quantitative discipline such as statistics, computer science, mathematics or machine learning and 5 years of relevant…
Active 4 days ago·More...View all Raps Consulting jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NY","job_aafb730eccf7efe4","Remote"
"39","Data Analyst / Data Scientist","Duetto Research","Texas•","You will collaborate closely with engineers, data scientists and product managers to build the next generation data models, algorithms and insights that help…","Data Analyst / Data ScientistDuetto ResearchTexas•RemoteYou will collaborate closely with engineers, data scientists and product managers to build the next generation data models, algorithms and insights that help…
30+ days ago·More...View all Duetto Research jobs in Texas - Texas jobsSalary Search: Data Analyst / Data Scientist salaries in Texas","job_eab0874975c9216f","Remote"
"49","Data Scientist-DEA","DT Professional Services","","Create insights from existing DEA data, and drive the collection of new data and ways to address new data.
 Your primary focus will be in applying data mining…","newData Scientist-DEADT Professional ServicesRemoteEasily applyCreate insights from existing DEA data, and drive the collection of new data and ways to address new data.
 Your primary focus will be in applying data mining…
3 days ago·More...View all DT Professional Services jobs in Remote - Remote jobsSalary Search: Data Scientist-DEA salaries in Remote","job_a280f89d31ed85df","Remote"
"59","Data Scientist","Apollo Neuroscience","","Bring your health care and/or social sciences experience and expertise to help inform new strategies, research, machine learning efforts, and notable…","Data ScientistApollo NeuroscienceRemoteBring your health care and/or social sciences experience and expertise to help inform new strategies, research, machine learning efforts, and notable…
23 days ago·More...View all Apollo Neuroscience jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_fe6c89b211ba3a5e","Remote"
"69","Data Scientist","Zip","New York, NY+1 location","Adept Python ML stack and analytics/ visualization tools (SQL, Pandas, Tableau, Plotly or equivalent).
 Extract and explore data, validate data integrity,…","Data ScientistZipNew York, NY+1 locationAdept Python ML stack and analytics/ visualization tools (SQL, Pandas, Tableau, Plotly or equivalent).
 Extract and explore data, validate data integrity,…
30+ days ago·More...View all Zip jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NY","job_cac5d304586c95ad",""
"79","Data Scientist Associate","CliftonLarsonAllen","Indianapolis, IN 46240 (Keystone at the Crossing area)+1 location","Gain experience with predictive and inferential analytics, machine learning, and artificial intelligence techniques.
 At CLA we create inspired careers .","newData Scientist AssociateCliftonLarsonAllen3.2Indianapolis, IN 46240 (Keystone at the Crossing area)+1 locationGain experience with predictive and inferential analytics, machine learning, and artificial intelligence techniques.
 At CLA we create inspired careers .
5 days ago·More...View all CliftonLarsonAllen jobs in Indianapolis, IN - Indianapolis jobsSalary Search: Data Scientist Associate salaries in Indianapolis, INSee popular questions & answers about CliftonLarsonAllen","job_2d7d7770b965a308",""
"89","Data Scientist - Nielsen 2022 Full-time University Program","Nielsen","New York, NY+5 locations","Utilize and develop innovative statistical modeling (and machine learning / deep learning methodologies where applicable) to enable custom audience analytics…","Data Scientist - Nielsen 2022 Full-time University ProgramNielsen3.8New York, NY+5 locationsUtilize and develop innovative statistical modeling (and machine learning / deep learning methodologies where applicable) to enable custom audience analytics…
18 days ago·More...View all Nielsen jobs in New York, NY - New York jobsSalary Search: Data Scientist - Nielsen 2022 Full-time University Program salaries in New York, NYSee popular questions & answers about Nielsen","job_cc65c3dcae2f9da2",""
"99","Senior Data Analyst","The Tolan Group","","Be proficient in data query and manipulation, data mining, trend and pattern discovery.
 Knowledge of private insurance, Medicare, Medicaid and health care…","newSenior Data AnalystThe Tolan GroupRemote$80,000 - $100,000 a yearEasily applyBe proficient in data query and manipulation, data mining, trend and pattern discovery.
 Knowledge of private insurance, Medicare, Medicaid and health care…
Today·More...View all The Tolan Group jobs in Remote - Remote jobsSalary Search: Senior Data Analyst salaries in Remote","job_495f07d30a2ad73e","Remote"
"109","Data Analyst (Remote)","XSELL Technologies","","This position requires the ability to work with large datasets with a knowledge of data analytics, data modeling, and the ability to learn the Sisense Power BI…","newData Analyst (Remote)XSELL Technologies3.5RemoteThis position requires the ability to work with large datasets with a knowledge of data analytics, data modeling, and the ability to learn the Sisense Power BI…
4 days ago·More...View all XSELL Technologies jobs in Remote - Remote jobsSalary Search: Data Analyst (Remote) salaries in RemoteSee popular questions & answers about XSELL Technologies","job_4fb13dfd90142038","Remote"
"119","Associate Decision Scientist, Data & Media","Ibotta","Denver, CO 80202 (Central Business District area)•","1 - 3 years of experience in analytics or data science.
 Developing and automating analytics tools that enable internal business customers to gain insights they…","newAssociate Decision Scientist, Data & MediaIbotta3.5Denver, CO 80202 (Central Business District area)•Remote$60,000 - $70,000 a yearEasily apply1 - 3 years of experience in analytics or data science.
 Developing and automating analytics tools that enable internal business customers to gain insights they…
1 day ago·More...View all Ibotta jobs in Denver, CO - Denver jobsSalary Search: Associate Decision Scientist, Data & Media salaries in Denver, COSee popular questions & answers about Ibotta","job_e967c10d0568b191","Remote"
"129","Data Scientist","Pathlight","","Pathlight puts frontline employees in the driver's seat, giving them everything they need—from data to coaching—to manage themselves and hit their goals, and…","Data ScientistPathlight3.1RemotePathlight puts frontline employees in the driver's seat, giving them everything they need—from data to coaching—to manage themselves and hit their goals, and…
30+ days ago·More...View all Pathlight jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in RemoteSee popular questions & answers about Pathlight","job_e6dcf5b63f6b0bfd","Remote"
"139","Junior Data Scientist (PMX)","PMX","New York, NY 10014 (SoHo area)","As well as their ability to manage research projects resulting in real world project and data pipelines that support data products.","Junior Data Scientist (PMX)PMX2.4New York, NY 10014 (SoHo area)Easily applyAs well as their ability to manage research projects resulting in real world project and data pipelines that support data products.
12 days ago·More...View all PMX jobs in New York, NY - New York jobsSalary Search: Junior Data Scientist (PMX) salaries in New York, NYSee popular questions & answers about PMX","job_31944a911f220f62",""
"149","Jr Data Scientist","DLA Piper","New York, NY","Experience using basic data science concepts: probability, statistics, hypothesis testing, machine learning, natural language processing, predictive modeling,…","Jr Data ScientistDLA Piper3.9New York, NYExperience using basic data science concepts: probability, statistics, hypothesis testing, machine learning, natural language processing, predictive modeling,…
30+ days ago·More...View all DLA Piper jobs in New York, NY - New York jobsSalary Search: Jr Data Scientist salaries in New York, NYSee popular questions & answers about DLA Piper","job_33426b9826d30446",""
"159","Data Scientist-Digital Marketing","Avant","","Develop reports and provide insights behind the data to help marketers be effective.
 Implement and analyze A/B or Multivariate Tests to provide measurable…","Data Scientist-Digital MarketingAvant3.0Remote$35,902 - $101,328 a yearEasily applyDevelop reports and provide insights behind the data to help marketers be effective.
 Implement and analyze A/B or Multivariate Tests to provide measurable…
Active 4 days ago·More...View all Avant jobs in Remote - Remote jobsSalary Search: Data Scientist-Digital Marketing salaries in RemoteSee popular questions & answers about Avant","job_eaa54547c69946bf","Remote"
"id10","Data Scientist-Digital Marketing","Avant","","Develop reports and provide insights behind the data to help marketers be effective.
 Implement and analyze A/B or Multivariate Tests to provide measurable…","Data Scientist-Digital MarketingAvant3.0Remote$35,902 - $101,328 a yearEasily applyDevelop reports and provide insights behind the data to help marketers be effective.
 Implement and analyze A/B or Multivariate Tests to provide measurable…
Active 4 days ago·More...View all Avant jobs in Remote - Remote jobsSalary Search: Data Scientist-Digital Marketing salaries in RemoteSee popular questions & answers about Avant","job_eaa54547c69946bf","Remote"
"210","Data Scientist II","Memorial Sloan-Kettering Cancer Center","New York, NY 10017 (Turtle Bay area)","Serves as a mentor to junior data scientists, stakeholders, and other team members on best practices and innovative data science solutions.","Data Scientist IIMemorial Sloan-Kettering Cancer Center4.2New York, NY 10017 (Turtle Bay area)Serves as a mentor to junior data scientists, stakeholders, and other team members on best practices and innovative data science solutions.
28 days ago·More...View all Memorial Sloan-Kettering Cancer Center jobs in New York, NY - New York jobsSalary Search: Data Scientist II salaries in New York, NYSee popular questions & answers about Memorial Sloan-Kettering Cancer Center","job_2d9a2ba3ba461272",""
"310","Senior Data Scientist","DQLabs.ai","","We are looking for an individual that will bring in his/her expertise in Data Science to lead, build and support all the data needs across our data platform.","Senior Data ScientistDQLabs.aiRemoteUp to $175,000 a yearEasily applyUrgently hiringWe are looking for an individual that will bring in his/her expertise in Data Science to lead, build and support all the data needs across our data platform.
Active 2 days ago·More...View all DQLabs.ai jobs in Remote - Remote jobsSalary Search: Senior Data Scientist salaries in Remote","job_39496ab4ca68ee43","Remote"
"410","Data Scientist","Unilever","Englewood Cliffs, NJ","Must be hands-on and must have worked on implementing data mining algorithms, work with cross-functional team members to identify and prioritize actionable,…","Data ScientistUnilever4.2Englewood Cliffs, NJMust be hands-on and must have worked on implementing data mining algorithms, work with cross-functional team members to identify and prioritize actionable,…
30+ days ago·More...View all Unilever jobs in Englewood Cliffs, NJ - Englewood Cliffs jobsSalary Search: Data Scientist salaries in Englewood Cliffs, NJSee popular questions & answers about Unilever","job_36b8e652ffbdf547",""
"510","Data Scientist - Artificial Intelligence/Machine Learning (1...","Maximus - Attain","","Conduct various data wrangling tasks to ensure the highest possible data quality.
 Experience with large scale, high performance enterprise big data application…","Data Scientist - Artificial Intelligence/Machine Learning (1...Maximus - AttainRemoteEasily applyConduct various data wrangling tasks to ensure the highest possible data quality.
 Experience with large scale, high performance enterprise big data application…
Active 4 days ago·More...View all Maximus - Attain jobs in Remote - Remote jobsSalary Search: Data Scientist - Artificial Intelligence/Machine Learning (100% Remote) salaries in Remote","job_a07df5e371c3a41c","Remote"
"610","Data Scientist - Payments -","Apple","Austin, TX+45 locations","Love for applied empirical analytics, data mining and predictive analytics.
 Deep dives in large-scale data to identify key insights that influence product…","Data Scientist - Payments -Apple4.2Austin, TX+45 locationsLove for applied empirical analytics, data mining and predictive analytics.
 Deep dives in large-scale data to identify key insights that influence product…
11 days ago","sj_69c6b5f7da254a9e",""
"710","Data Scientist - Analytics, Product","DataCamp","New York, NY+1 location","Monitor product health and investigate the underlying causes of trends and propose solutions to product teams.
 Improve tracking and analytics tools.","Data Scientist - Analytics, ProductDataCampNew York, NY+1 locationEasily applyMonitor product health and investigate the underlying causes of trends and propose solutions to product teams.
 Improve tracking and analytics tools.
30+ days ago·More...View all DataCamp jobs in New York, NY - New York jobsSalary Search: Data Scientist - Analytics, Product salaries in New York, NY","job_fe07769d82c9fc56",""
"810","Software Engineering/Data Science Volunteer Opportunities (F...","RND4IMPACT INC.","","RND4IMPACT INC. is a 501(c)(3) scientific research organization that focuses broadly on scientific research and inquiry or which engage in interdisciplinary…","newSoftware Engineering/Data Science Volunteer Opportunities (F...RND4IMPACT INC.Remote$1,009 - $4,100 a monthEasily applyResponsive employerRND4IMPACT INC. is a 501(c)(3) scientific research organization that focuses broadly on scientific research and inquiry or which engage in interdisciplinary…
Active 3 days ago·More...View all RND4IMPACT INC. jobs in Remote - Remote jobsSalary Search: Software Engineering/Data Science Volunteer Opportunities (F-1 OPT EAD) salaries in Remote","job_bbe9c1b053eb2c04","Remote"
"910","Data Scientist","Bio-Reference Laboratories, Inc.","Elmwood Park, NJ 07407•","Discover, understand, and organize disparate data sources and structure them into clean data models that unlock analytics for commercial, operational, technical…","Data ScientistBio-Reference Laboratories, Inc.3.5Elmwood Park, NJ 07407•RemoteDiscover, understand, and organize disparate data sources and structure them into clean data models that unlock analytics for commercial, operational, technical…
30+ days ago·More...View all Bio-Reference Laboratories, Inc. jobs in Elmwood Park, NJ - Elmwood Park jobsSalary Search: Data Scientist salariesSee popular questions & answers about Bio-Reference Laboratories, Inc.","job_f9046390ca0de064","Remote"
"1010","Junior Data Scientist","PIÑATA SCIENCES","Boston, MA","Experience with machine learning techniques.
 As an energetic data scientist you will be responsible for taking in person findings and developing practical…","Junior Data ScientistPIÑATA SCIENCESBoston, MAExperience with machine learning techniques.
 As an energetic data scientist you will be responsible for taking in person findings and developing practical…
30+ days ago·More...View all PIÑATA SCIENCES jobs in Boston, MA - Boston jobsSalary Search: Junior Data Scientist salaries in Boston, MA","job_7ee6e4997258f140",""
"1110","Data Scientist","CBL Solutions Inc","Temporarily ","Emphasize the value of data/analytics and help drive a data-informed culture.
 Experience with data visualization tools such as Tableau, PowerBI.","Data ScientistCBL Solutions IncTemporarily Remote$40 - $80 an hourEasily applyUrgently hiringEmphasize the value of data/analytics and help drive a data-informed culture.
 Experience with data visualization tools such as Tableau, PowerBI.
Active 2 days ago·More...View all CBL Solutions Inc jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_6b334baf0a9bf5d4","Remote"
"1210","Data Scientist, Operations Data Science - Remote","Google","Mountain View, CA+7 locations•","4 years of relevant work experience (e.g., as a data scientist), including experience applying advanced analytics to planning and infrastructure problems.","Data Scientist, Operations Data Science - RemoteGoogle4.3Mountain View, CA+7 locations•Remote$95,000 a year4 years of relevant work experience (e.g., as a data scientist), including experience applying advanced analytics to planning and infrastructure problems.
30+ days ago·More...View all Google jobs in Mountain View, CA - Mountain View jobsSalary Search: Data Scientist, Operations Data Science - Remote salaries in Mountain View, CASee popular questions & answers about Google","job_5df4f19a4abba7a9","Remote"
"1310","Data Scientist, Marketing and Acquisition","Clearcover","Illinois•","A successful Data Scientist will collaborate with our machine learning engineers and data engineers to proactively influence the direction of the company.","Data Scientist, Marketing and AcquisitionClearcoverIllinois•RemoteEasily applyA successful Data Scientist will collaborate with our machine learning engineers and data engineers to proactively influence the direction of the company.
30+ days ago·More...View all Clearcover jobs in Illinois - Illinois jobsSalary Search: Data Scientist, Marketing and Acquisition salaries in Illinois","job_cced4785aa15c310","Remote"
"1410","Profesor/a Data Science","Coderhouse","","Nuestro foco está en la educación digital y tenemos alcance mundial, dictamos cursos de desarrollo, marketing digital, diseño, data y producto.","Profesor/a Data ScienceCoderhouseRemoteNuestro foco está en la educación digital y tenemos alcance mundial, dictamos cursos de desarrollo, marketing digital, diseño, data y producto.
13 days ago·More...View all Coderhouse jobs in Remote - Remote jobsSalary Search: Profesor/a Data Science salaries in Remote","job_46b3175e11d65f40","Remote"
"1510","Data Scientist","Ribbon Health","New York, NY","We’re building a data platform and API layer that powers the workflows of healthcare providers, care navigation platforms, health plans, and emerging digital…","Data ScientistRibbon HealthNew York, NYWe’re building a data platform and API layer that powers the workflows of healthcare providers, care navigation platforms, health plans, and emerging digital…
30+ days ago·More...View all Ribbon Health jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NY","job_6436e44787661e89",""
"id11","Software Engineering/Data Science Volunteer Opportunities (F...","RND4IMPACT INC.","","RND4IMPACT INC. is a 501(c)(3) scientific research organization that focuses broadly on scientific research and inquiry or which engage in interdisciplinary…","newSoftware Engineering/Data Science Volunteer Opportunities (F...RND4IMPACT INC.Remote$1,009 - $4,100 a monthEasily applyResponsive employerRND4IMPACT INC. is a 501(c)(3) scientific research organization that focuses broadly on scientific research and inquiry or which engage in interdisciplinary…
Active 3 days ago·More...View all RND4IMPACT INC. jobs in Remote - Remote jobsSalary Search: Software Engineering/Data Science Volunteer Opportunities (F-1 OPT EAD) salaries in Remote","job_bbe9c1b053eb2c04","Remote"
